model,scope,prevalence,threshold,tp,fp,fn,tn,recall,fpr,precision,f1
v054,7500,0.001,0.9983936852318344,5260,1,23,18646,0.9956464130229037,5.362792942564488e-05,0.9489389594059117,0.9717317475551142
v054,7500,0.01,0.9983936852318344,5260,1,23,18646,0.9956464130229037,5.362792942564488e-05,0.9946959034650111,0.9951709312808839
v054,7500,0.1,0.9983936852318344,5260,1,23,18646,0.9956464130229037,5.362792942564488e-05,0.999515473062592,0.997577191561303
v054,8000,0.001,0.9983936852318344,5272,0,20,18651,0.9962207105064248,0.0,1.0,0.9981067777357062
v054,8000,0.01,0.9983936852318344,5272,0,20,18651,0.9962207105064248,0.0,1.0,0.9981067777357061
v054,8000,0.1,0.9983936852318344,5272,0,20,18651,0.9962207105064248,0.0,1.0,0.9981067777357061
v054,8500,0.001,0.9983936852318344,5312,0,23,18654,0.995688847235239,0.0,1.0,0.9978397670705362
v054,8500,0.01,0.9983936852318344,5312,0,23,18654,0.995688847235239,0.0,1.0,0.9978397670705365
v054,8500,0.1,0.9983936852318344,5312,0,23,18654,0.995688847235239,0.0,1.0,0.9978397670705363
v054,9000,0.001,0.9983936852318344,5332,0,26,18654,0.9951474430757745,0.0,1.0,0.9975678203928905
v054,9000,0.01,0.9983936852318344,5332,0,26,18654,0.9951474430757745,0.0,1.0,0.9975678203928905
v054,9000,0.1,0.9983936852318344,5332,0,26,18654,0.9951474430757745,0.0,1.0,0.9975678203928905
v054,9500,0.001,0.9983936852318344,5380,1,29,18642,0.9946385653540396,5.36394357131363e-05,0.9488794591703421,0.9712203252594699
v054,9500,0.01,0.9983936852318344,5380,1,29,18642,0.9946385653540396,5.36394357131363e-05,0.9946894243319554,0.9946639941928694
v054,9500,0.1,0.9983936852318344,5380,1,29,18642,0.9946385653540396,5.36394357131363e-05,0.9995148783253034,0.9970707598039341
v054,10000,0.001,0.9983936852318344,5578,0,30,18653,0.9946504992867332,0.0,1.0,0.9973180761666368
v054,10000,0.01,0.9983936852318344,5578,0,30,18653,0.9946504992867332,0.0,1.0,0.9973180761666367
v054,10000,0.1,0.9983936852318344,5578,0,30,18653,0.9946504992867332,0.0,1.0,0.9973180761666369
v054,50000,0.001,0.9983936852318344,5315,0,10,18658,0.9981220657276996,0.0,1.0,0.9990601503759396
v054,50000,0.01,0.9983936852318344,5315,0,10,18658,0.9981220657276996,0.0,1.0,0.9990601503759398
v054,50000,0.1,0.9983936852318344,5315,0,10,18658,0.9981220657276996,0.0,1.0,0.9990601503759396
v054,100000,0.001,0.9983936852318344,5338,0,2,18659,0.999625468164794,0.0,1.0,0.9998126990073049
v054,100000,0.01,0.9983936852318344,5338,0,2,18659,0.999625468164794,0.0,1.0,0.9998126990073047
v054,100000,0.1,0.9983936852318344,5338,0,2,18659,0.999625468164794,0.0,1.0,0.9998126990073049
v054,Fungi,0.001,0.9983936852318344,23430,74,333,391597,0.9859866178512814,0.00018893407987826517,0.8393291544173526,0.9067661900487289
v054,Fungi,0.01,0.9983936852318344,23430,74,333,391597,0.9859866178512814,0.00018893407987826517,0.9813828608003318,0.9836793527984629
v054,Fungi,0.1,0.9983936852318344,23430,74,333,391597,0.9859866178512814,0.00018893407987826517,0.9982783952035369,0.9920944350527112
v054,Metazoa,0.001,0.9983936852318344,54562,74,436,391597,0.9920724389977817,0.00018893407987826517,0.8401572366226508,0.9098169841568903
